batch,acc
0,0.66015625
1,0.62890625
2,0.66015625
3,0.5859375
4,0.671875
5,0.58984375
6,0.6484375
7,0.60546875
8,0.625
9,0.625
10,0.64453125
11,0.65234375
12,0.61328125
13,0.578125
14,0.6796875
15,0.60546875
16,0.640625
17,0.57421875
18,0.59375
19,0.7109375
20,0.69140625
21,0.734375
22,0.66796875
23,0.6015625
24,0.7734375
25,0.6875
26,0.63671875
27,0.6953125
28,0.71875
29,0.703125
30,0.71484375
31,0.6953125
32,0.76953125
33,0.75390625
34,0.81640625
35,0.734375
36,0.76171875
37,0.75
38,0.66796875
39,0.5625
