batch,acc
0,0.9921875
1,0.9453125
2,0.96875
3,0.97265625
4,0.96484375
5,0.95703125
6,0.9765625
7,0.95703125
8,0.95703125
9,0.95703125
10,0.97265625
11,0.953125
12,0.97265625
13,0.9375
14,0.9609375
15,0.953125
16,0.953125
17,0.953125
18,0.9609375
19,0.96875
20,0.9921875
21,0.9921875
22,0.98046875
23,0.96484375
24,0.984375
25,0.953125
26,0.9609375
27,0.9609375
28,0.984375
29,0.984375
30,0.98046875
31,0.98046875
32,0.97265625
33,0.99609375
34,0.9921875
35,0.98828125
36,0.98828125
37,0.93359375
38,0.91015625
39,1.0
